A002,IRKUT,A-002,G,P
GLF3,GULFSTREAM AEROSPACE,C-20E Gulfstream 3,L,J
GLF3,GULFSTREAM AEROSPACE,G-1159A Gulfstream 3,L,J
GLF3,GULFSTREAM AEROSPACE,G-1159A Gulfstream SRA-1,L,J
GLF3,GULFSTREAM AEROSPACE,Gulfstream 3,L,J
GLF3,GULFSTREAM AEROSPACE,Gulfstream SRA-1,L,J
GLF3,GULFSTREAM AMERICAN,G-1159A Gulfstream 3,L,J
GLF3,GULFSTREAM AMERICAN,G-1159A Gulfstream SMA-3,L,J
GLF3,GULFSTREAM AMERICAN,Gulfstream 3,L,J
GLF3,GULFSTREAM AMERICAN,Gulfstream SMA-3,L,J
GLF4,GULFSTREAM AEROSPACE,C-20F Gulfstream 4,L,J
GLF4,GULFSTREAM AEROSPACE,C-20G Gulfstream 4,L,J
GLF4,GULFSTREAM AEROSPACE,C-20H Gulfstream 4,L,J
GLF4,GULFSTREAM AEROSPACE,G-1159C Gulfstream 4,L,J
GLF4,GULFSTREAM AEROSPACE,G-1159C Gulfstream 4SP,L,J
GLF4,GULFSTREAM AEROSPACE,G-1159C Gulfstream SRA-4,L,J
GLF4,GULFSTREAM AEROSPACE,Gulfstream 300,L,J
GLF4,GULFSTREAM AEROSPACE,Gulfstream 4,L,J
GLF4,GULFSTREAM AEROSPACE,Gulfstream 400,L,J
GLF4,GULFSTREAM AEROSPACE,Gulfstream 4SP,L,J
GLF4,GULFSTREAM AEROSPACE,Gulfstream SRA-4,L,J
GLF4,GULFSTREAM AEROSPACE,S102 Gulfstream 4,L,J
GLF4,GULFSTREAM AEROSPACE,Tp102 Gulfstream 4,L,J
GLF4,GULFSTREAM AEROSPACE,U-4 Gulfstream 4,L,J
GLF5,GULFSTREAM AEROSPACE,C-37 Gulfstream 5,L,J
GLF5,GULFSTREAM AEROSPACE,G-1159D Gulfstream 5,L,J
GLF5,GULFSTREAM AEROSPACE,Gulfstream 5,L,J
GLF5,GULFSTREAM AEROSPACE,Gulfstream 500,L,J
GLF5,GULFSTREAM AEROSPACE,Gulfstream 550,L,J
GLID,Generic,Glider,N,N
GLID,Generic,Sailplane,N,N
GLSP,NEW GLASTAR,Sportsman 2+2,L,P
GLST,NEW GLASTAR,GlaStar,L,P
GLST,STODDARD-HAMILTON,GlaStar,L,P
GLST,STODDARD-HAMILTON,SH-4 GlaStar,L,P
GLTU,STODDARD-HAMILTON,Turbine Glasair,L,T
GM01,YALO,GM-01 Gniady,L,P
GM01,YALO,Gniady,L,P
GM17,INTRACOM,GM-17 Viper,L,T
GM17,INTRACOM,Viper,L,T
GNAT,FOLLAND,Fo-144 Gnat,L,J
GNAT,FOLLAND,Gnat,L,J
GNAT,HAWKER SIDDELEY,Gnat,L,J
GOLF,TECNAM,Golf,L,P
GOLF,TECNAM,P-96 Golf,L,P
GOOS,QUIKKIT,Glass Goose,A,P
GOTR,GOAIR,GT-1 Trainer,L,P
GOTR,GOAIR,Trainer,L,P
GP3,OSPREY,GP-3 Osprey 2,A,P
GP3,OSPREY,Osprey 2,A,P
GP3,PEREIRA,GP-3 Osprey 2,A,P
GP3,PEREIRA,Osprey 2,A,P
GP4,OSPREY,GP-4,L,P
GP4,PEREIRA,GP-4,L,P
GR51,CAMERON,Grand 51,L,T
GR51,CAMERON,P-51G Grand 51,L,T
GR51,EXCLUSIVE,P-51G Grand 51,L,T
GRAF,LUNDY,Graflite,L,P
GRIF,CANADA AIR RV,Griffin,L,P
GSIS,INNOVATION,Genesis,L,P
GSIS,INNOVATION,Genesis Revelation,L,P
GSIS,SLIPSTREAM,Genesis,L,P
GSIS,SLIPSTREAM,Revelation,L,P
GURI,AEROMOT,AMT-600 Guri,L,P
GURI,AEROMOT,Guri,L,P
GY10,GARDAN,Bagheera,L,P
GY10,GARDAN,GY-100 Bagheera,L,P
GY20,CAB,GY-20 Minicab,L,P
GY20,CAB,Minicab,L,P
GY20,MARANDA,BM-4,L,P
GY30,CAB,GY-30 Supercab,L,P
GY30,CAB,Supercab,L,P
GY80,GARDAN,GY-80 Horizon,L,P
GY80,GARDAN,Horizon,L,P
GY80,SOCATA,GY-80 Horizon,L,P
GY80,SOCATA,Horizon,L,P
GY80,SUD,GY-80 Horizon,L,P
GY80,SUD,Horizon,L,P
GYRO,Generic,Microlight autogyro,N,N
GYRO,Generic,Ultralight autogyro,N,N
H111,CASA,2-111,L,P
H111,HEINKEL,He-111,L,P
H12T,HILLER,UH-12E3T,H,T
H12T,HILLER,UH-12E4T,H,T
H12T,HILLER,UH-12ET,H,T
H12T,SOLOY,Hiller UH-12,H,T
H2,KAMAN,K-20 Seaprite,H,T
H2,KAMAN,K-894 Super Seasprite,H,T
H2,KAMAN,Seaprite,H,T
H2,KAMAN,SH-2 Seasprite,H,T
H2,KAMAN,SH-2 Super Seasprite,H,T
H2,KAMAN,Super Seasprite,H,T
H202,HB-AIRCRAFT,Fledger,L,P
H202,HB-AIRCRAFT,HB-202 Fledger,L,P
H207,HB-FLUGTECHNIK,Alfa,L,P
H207,HB-FLUGTECHNIK,HB-207 Alfa,L,P
H21,VERTOL,42 Work Horse,H,P
H21,VERTOL,CH-21 Work horse,H,P
H21,VERTOL,Work Horse,H,P
H25A,DE HAVILLAND,DH-125,L,J
H25A,HAWKER SIDDELEY,Dominie,L,J
H25A,HAWKER SIDDELEY,EC-93,L,J
H25A,HAWKER SIDDELEY,EU-93,L,J
H25A,HAWKER SIDDELEY,HS-125-1,L,J
H25A,HAWKER SIDDELEY,HS-125-2 Dominie,L,J
H25A,HAWKER SIDDELEY,HS-125-3,L,J
H25A,HAWKER SIDDELEY,HS-125-400,L,J
H25A,HAWKER SIDDELEY,HS-125-600,L,J
H25A,HAWKER SIDDELEY,VC-93,L,J
H25A,HAWKER SIDDELEY,VU-93,L,J
H25B,BRITISH AEROSPACE,BAe-125-700,L,J
H25B,BRITISH AEROSPACE,BAe-125-800,L,J
H25B,BRITISH AEROSPACE,C-29,L,J
H25B,BRITISH AEROSPACE,U-125,L,J
H25B,HAWKER SIDDELEY,HS-125-700,L,J
H25B,RAYTHEON,Hawker 800,L,J
H25B,RAYTHEON,U-125,L,J
H25C,BRITISH AEROSPACE,BAe-125-1000,L,J
H25C,RAYTHEON,Hawker 1000,L,J
H269,BREDANARDI,NH-300,H,P
H269,HUGHES,200,H,P
H269,HUGHES,269,H,P
H269,HUGHES,280,H,P
H269,HUGHES,300,H,P
H269,HUGHES,269 Sky Knight,H,P
H269,HUGHES,300 Sky Knight,H,P
H269,HUGHES,HE-20,H,P
H269,HUGHES,Hkp5,H,P
H269,HUGHES,Osage,H,P
H269,HUGHES,Sky Knight,H,P
H269,HUGHES,TH-300,H,P
H269,HUGHES,TH-55 Osage,H,P
H269,KAWASAKI,TH-55,H,P
H269,NARDI,NH-300,H,P
H269,SCHWEIZER,269,H,P
H269,SCHWEIZER,300,H,P
H269,SCHWEIZER,269A,H,P
H269,SCHWEIZER,269B,H,P
H269,SCHWEIZER,269C,H,P
H269,SCHWEIZER,269C Sky Knight,H,P
H269,SCHWEIZER,300 Sky Knight,H,P
H269,SCHWEIZER,Hkp5,H,P
H269,SCHWEIZER,Osage,H,P
H269,SCHWEIZER,Sky Knight,H,P
H269,SCHWEIZER,TH-300,H,P
H269,SCHWEIZER,TH-55 Osage,H,P
H40,HOFFMANN,H-40,L,P
H43A,KAMAN,H-43A,H,P
H43A,KAMAN,HH-43A,H,P
H43A,KAMAN,HOK,H,P
H43A,KAMAN,HUK,H,P
H43A,KAMAN,K-600,H,P
H43A,KAMAN,OH-43,H,P
H43A,KAMAN,UH-43,H,P
H43B,KAMAN,HH-43B Huskie,H,T
H43B,KAMAN,HH-43F Huskie,H,T
H43B,KAMAN,Huskie,H,T
H43B,KAMAN,K-600-3 Huskie,H,T
H43B,KAMAN,K-600-5 Huskie,H,T
H46,BOEING VERTOL,107,H,T
H46,BOEING VERTOL,CH-113 Labrador,H,T
H46,BOEING VERTOL,CH-46 Sea Knight,H,T
H46,BOEING VERTOL,HH-46 Sea Knight,H,T
H46,BOEING VERTOL,Hkp4,H,T
H46,BOEING VERTOL,Labrador,H,T
H46,BOEING VERTOL,Sea Knight,H,T
H46,BOEING VERTOL,UH-46 Sea Knight,H,T
H46,KAWASAKI,Hkp4,H,T
H46,KAWASAKI,KV-107,H,T
H46,VERTOL,107,H,T
H47,BOEING,CH-47 Chinook,H,T
H47,BOEING,Chinook,H,T
H47,BOEING,MH-47 Chinook,H,T
H47,BOEING VERTOL,114,H,T
H47,BOEING VERTOL,234,H,T
H47,BOEING VERTOL,414,H,T
H47,BOEING VERTOL,CH-47 Chinook,H,T
H47,BOEING VERTOL,Chinook,H,T
H47,BOEING VERTOL,HT-17 Chinook,H,T
H47,BOEING VERTOL,JCH-47 Chinook,H,T
H47,BOEING VERTOL,MH-47 Chinnok,H,T
H47,KAWASAKI,CH-47 Chinook,H,T
H47,KAWASAKI,Chinook,H,T
H47,MERIDIONALI,CH-47 Chinook,H,T
H47,MERIDIONALI,Chinook,H,T
H500,AGUSTA,NH-500,H,T
H500,BOEING,Defender,H,T
H500,BOEING,Lifter,H,T
H500,BOEING,MD-500,H,T
H500,BOEING,MD-500 Defender,H,T
H500,BOEING,MD-500 Nightfox,H,T
H500,BOEING,MD-530F Lifter,H,T
H500,BOEING,MD-530MG Defender,H,T
H500,BOEING,MD-530MG Nightfox,H,T
H500,BOEING,Nightfox,H,T
H500,BREDANARDI,NH-500,H,T
H500,HUGHES,369,H,T
H500,HUGHES,500,H,T
H500,HUGHES,500 Defender,H,T
H500,HUGHES,530F,H,T
H500,HUGHES,AH-6C,H,T
H500,HUGHES,AH-6G,H,T
H500,HUGHES,Cayuse,H,T
H500,HUGHES,Defender,H,T
H500,HUGHES,HS-13,H,T
H500,HUGHES,MH-6B,H,T
H500,HUGHES,MH-6C,H,T
H500,HUGHES,MH-6E,H,T
H500,HUGHES,MH-6H,H,T
H500,HUGHES,OH-6 Cayuse,H,T
H500,KAWASAKI,369,H,T
H500,KAWASAKI,500,H,T
H500,KAWASAKI,OH-6,H,T
H500,KOREAN AIR,369,H,T
H500,KOREAN AIR,500,H,T
H500,KOREAN AIR,500 Defender,H,T
H500,KOREAN AIR,520MK Black Tiger,H,T
H500,KOREAN AIR,Black Tiger,H,T
H500,KOREAN AIR,Defender,H,T
H500,MCDONNELL DOUGLAS,AH-6G,H,T
H500,MCDONNELL DOUGLAS,Defender,H,T
H500,MCDONNELL DOUGLAS,Lifter,H,T
H500,MCDONNELL DOUGLAS,MD-500,H,T
H500,MCDONNELL DOUGLAS,MD-500 Defender,H,T
H500,MCDONNELL DOUGLAS,MD-500 Nightfox,H,T
H500,MCDONNELL DOUGLAS,MD-530F Lifter,H,T
H500,MCDONNELL DOUGLAS,MD-530MG Defender,H,T
H500,MCDONNELL DOUGLAS,MD-530MG Nightfox,H,T
H500,MCDONNELL DOUGLAS,MH-6H,H,T
H500,MCDONNELL DOUGLAS,Nightfox,H,T
H500,MD HELICOPTERS,Defender,H,T
H500,MD HELICOPTERS,Lifter,H,T
H500,MD HELICOPTERS,MD-500,H,T
H500,MD HELICOPTERS,MD-500 Defender,H,T
H500,MD HELICOPTERS,MD-500 Nightfox,H,T
H500,MD HELICOPTERS,MD-530F Lifter,H,T
H500,MD HELICOPTERS,MD-530MG Defender,H,T
H500,MD HELICOPTERS,MD-530MG Nightfox,H,T
H500,MD HELICOPTERS,Nightfox,H,T
H500,RACA,500,H,T
H53,SIKORSKY,CH-53A Sea Stallion,H,T
H53,SIKORSKY,CH-53A Yasur,H,T
H53,SIKORSKY,CH-53C,H,T
H53,SIKORSKY,CH-53D Sea Stallion,H,T
H53,SIKORSKY,CH-53G,H,T
H53,SIKORSKY,HH-53,H,T
H53,SIKORSKY,MH-53H,H,T
H53,SIKORSKY,MH-53J,H,T
H53,SIKORSKY,RH-53 Sea Stallion,H,T
H53,SIKORSKY,S-65,H,T
H53,SIKORSKY,S-65 Yasur,H,T
H53,SIKORSKY,Sea Stallion,H,T
H53,SIKORSKY,TH-53,H,T
H53,SIKORSKY,VH-53 Sea Stallion,H,T
H53,SIKORSKY,Yasur,H,T
H53,VFW,CH-53G,H,T
H53S,SIKORSKY,CH-53E Super Stallion,H,T
H53S,SIKORSKY,MH-53E Sea Dragon,H,T
H53S,SIKORSKY,S-80,H,T
H53S,SIKORSKY,Sea Dragon,H,T
H53S,SIKORSKY,Super Stallion,H,T
H60,ASTA,S-70 Seahawk,H,T
H60,ASTA,Seahawk,H,T
H60,HAWKER DE HAVILLAND,Black Hawk,H,T
H60,HAWKER DE HAVILLAND,S-70 Black Hawk,H,T
H60,KOREAN AIR,Black Hawk,H,T
H60,KOREAN AIR,UH-60 Black Hawk,H,T
H60,MITSUBISHI,S-70 Seahawk,H,T
H60,MITSUBISHI,Seahawk,H,T
H60,MITSUBISHI,SH-60 Seahawk,H,T
H60,MITSUBISHI,UH-60,H,T
H60,SIKORSKY,AH-60 Black Hawk,H,T
H60,SIKORSKY,Black Hawk,H,T
H60,SIKORSKY,Desert Hawk,H,T
H60,SIKORSKY,EH-60 Black Hawk,H,T
H60,SIKORSKY,Firehawk,H,T
H60,SIKORSKY,HH-60 Black Hawk,H,T
H60,SIKORSKY,HH-60 Jayhawk,H,T
H60,SIKORSKY,HH-60 Pave Hawk,H,T
H60,SIKORSKY,HH-60 Rescue Hawk,H,T
H60,SIKORSKY,HS-23 Seahawk,H,T
H60,SIKORSKY,Jayhawk,H,T
H60,SIKORSKY,JUH-60 Black Hawk,H,T
H60,SIKORSKY,Knighthawk,H,T
H60,SIKORSKY,MH-60 Black Hawk,H,T
H60,SIKORSKY,MH-60 Knighthawk,H,T
H60,SIKORSKY,MH-60 Strikehawk,H,T
H60,SIKORSKY,NSH-60 Seahawk,H,T
H60,SIKORSKY,Ocean Hawk,H,T
H60,SIKORSKY,Pave Hawk,H,T
H60,SIKORSKY,Rescue Hawk,H,T
H60,SIKORSKY,S-70,H,T
H60,SIKORSKY,S-70 Black Hawk,H,T
H60,SIKORSKY,S-70 Desert Hawk,H,T
H60,SIKORSKY,S-70 Firehawk,H,T
H60,SIKORSKY,S-70 Super Blue Hawk,H,T
H60,SIKORSKY,S-70 Thunderhawk,H,T
H60,SIKORSKY,Seahawk,H,T
H60,SIKORSKY,SH-60 Ocean Hawk,H,T
H60,SIKORSKY,SH-60 Seahawk,H,T
H60,SIKORSKY,Strikehawk,H,T
H60,SIKORSKY,Super Blue Hawk,H,T
H60,SIKORSKY,Thunderhawk,H,T
H60,SIKORSKY,UH-60 Black Hawk,H,T
H60,SIKORSKY,UH-60 Firehawk,H,T
H60,SIKORSKY,UH-60 Yanshuf,H,T
H60,SIKORSKY,VH-60 White Hawk,H,T
H60,SIKORSKY,White Hawk,H,T
H60,SIKORSKY,Yanshuf,H,T
H60,WESTLAND,WS-70,H,T
H64,BOEING,AH-64 Longbow Apache,H,T
H64,BOEING,Longbow Apache,H,T
H64,FUJI,AH-64 Longbow Apache,H,T
H64,FUJI,Longbow Apache,H,T
H64,HUGHES,77 Apache,H,T
H64,HUGHES,AH-64 Apache,H,T
H64,HUGHES,Apache,H,T
H64,HUGHES,JAH-64 Apache,H,T
H64,MCDONNELL DOUGLAS,AH-64 Apache,H,T
H64,MCDONNELL DOUGLAS,AH-64 Longbow Apache,H,T
H64,MCDONNELL DOUGLAS,AH-64 Pethen,H,T
H64,MCDONNELL DOUGLAS,Apache,H,T
H64,MCDONNELL DOUGLAS,JAH-64 Apache,H,T
H64,MCDONNELL DOUGLAS,Longbow Apache,H,T
H64,MCDONNELL DOUGLAS,Pethen,H,T
H64,WESTLAND,Longbow Apache,H,T
H64,WESTLAND,WAH-64 Longbow Apache,H,T
H66,BOEING,Comanche,H,T
H66,BOEING,RAH-66 Comanche,H,T
H66,BOEING-SIKORSKY,Comanche,H,T
H66,BOEING-SIKORSKY,RAH-66 Comanche,H,T
H66,SIKORSKY,Comanche,H,T
H66,SIKORSKY,RAH-66 Comanche,H,T
HA2,HOLLMANN,HA-2 Sportster,G,P
HA2,HOLLMANN,Sportster,G,P
HA31,HINDUSTAN,Basant,L,P
HA31,HINDUSTAN,HA-31 Basant,L,P
HAHU,SINDLINGER,Hawker Hurricane,L,P
HAHU,SINDLINGER,HH-1 Hawker Hurricane,L,P
HAR,ALENIA,AV-8 Harrier,L,J
HAR,ALENIA,Harrier,L,J
HAR,BOEING,AV-8 Harrier,L,J
HAR,BOEING,Harrier,L,J
HAR,BOEING,Matador,L,J
HAR,BOEING,VA-2 Matador,L,J
HAR,BRITISH AEROSPACE,Harrier,L,J
HAR,BRITISH AEROSPACE,Sea Harrier,L,J
HAR,CASA,EAV-8 Matador,L,J
HAR,CASA,Matador,L,J
HAR,CASA,VA-2 Matador,L,J
HAR,HAWKER SIDDELEY,AV-8 Harrier,L,J
HAR,HAWKER SIDDELEY,Harrier,L,J
HAR,HAWKER SIDDELEY,TAV-8 Harrier,L,J
HAR,MCDONNELL DOUGLAS,AV-8 Harrier,L,J
HAR,MCDONNELL DOUGLAS,EAV-8 Matador,L,J
HAR,MCDONNELL DOUGLAS,Harrier,L,J
HAR,MCDONNELL DOUGLAS,Matador,L,J
HAR,MCDONNELL DOUGLAS,TAV-8 Harrier,L,J
HAR,MCDONNELL DOUGLAS,VA-2 Matador,L,J
HAW3,GROEN,H2X Hawk 3,G,P
HAW3,GROEN,Hawk 3,G,P
HAWK,BAE SYSTEMS,CT-155 Hawk,L,J
HAWK,BAE SYSTEMS,Goshawk,L,J
HAWK,BAE SYSTEMS,Hawk,L,J
HAWK,BAE SYSTEMS,T-45 Goshawk,L,J
HAWK,BAE SYSTEMS AUSTRALIA,Hawk,L,J
HAWK,BOEING,Goshawk,L,J
HAWK,BOEING,T-45 Goshawk,L,J
HAWK,BRITISH AEROSPACE,Goshawk,L,J
HAWK,BRITISH AEROSPACE,Hawk,L,J
HAWK,BRITISH AEROSPACE,T-45 Goshawk,L,J
HAWK,F+W EMMEN,Hawk,L,J
HAWK,HAWKER SIDDELEY,Hawk,L,J
HAWK,MCDONNELL DOUGLAS,Goshawk,L,J
HAWK,MCDONNELL DOUGLAS,T-45 Goshawk,L,J
HAWK,VALMET,Hawk,L,J
HB21,BRDITSCHKA,HB-21 Hobbylifter,L,P
HB21,BRDITSCHKA,HB-21 Hobbyliner,L,P
HB21,BRDITSCHKA,Hobbylifter,L,P
HB21,BRDITSCHKA,Hobbyliner (HB-21),L,P
HB23,BRDITSCHKA,HB-23 Hobbyliner,L,P
HB23,BRDITSCHKA,HB-23 Scanliner,L,P
HB23,BRDITSCHKA,Hobbyliner (HB-23),L,P
HB23,BRDITSCHKA,Scanliner,L,P
HB23,HB-AIRCRAFT,HB-23 Hobbyliner,L,P
HB23,HB-AIRCRAFT,HB-23 Scanliner,L,P
HB23,HB-AIRCRAFT,Hobbyliner,L,P
HB23,HB-AIRCRAFT,Scanliner,L,P
HB23,HB-FLUGTECHNIK,HB-23 Hobbyliner,L,P
HB23,HB-FLUGTECHNIK,HB-23 Scanliner,L,P
HB23,HB-FLUGTECHNIK,Hobbyliner,L,P
HB23,HB-FLUGTECHNIK,Scanliner,L,P
HB3,BRDITSCHKA,HB-3,L,P
HCAT,GRUMMAN,F6F Hellcat,L,P
HCAT,GRUMMAN,G-50 Hellcat,L,P
HCAT,GRUMMAN,Hellcat,L,P
HD34,HUREL-DUBOIS,HD-34,L,P
HDJT,HONDA,HA-420 HondaJet,L,J
HDJT,HONDA,HondaJet,L,J
HEAD,STEWART,Headwind,L,P
HEAD,STEWART,JD-1 Headwind,L,P
HEAD,STEWART,SAC-1 Headwind,L,P
HERN,DE HAVILLAND,DH-114 Heron,L,P
HERN,DE HAVILLAND,Heron,L,P
HERN,HAWKER SIDDELEY,DH-114 Heron,L,P
HERN,HAWKER SIDDELEY,Heron,L,P
HERN,RILEY,Heron,L,P
HF20,HFB,Hansa,L,J
HF20,HFB,HFB-320 Hansa,L,J
HF20,MBB,Hansa,L,J
HF20,MBB,HFB-320 Hansa,L,J
HI27,HIRTH,Acrostar,L,P
HI27,HIRTH,Hi-27 Acrostar,L,P
HIND,HAWKER,Hind,L,P
HLD4,HALBERSTADT,D-4 Replica,L,P
HM38,FALCONAR,HM-380 Ladybug,L,P
HM38,FALCONAR,Ladybug,L,P
HM38,MIGNET,HM-380,L,P
HMNY,EVEKTOR-AEROTECHNIK,EV-97VLA Harmony,L,P
HMNY,EVEKTOR-AEROTECHNIK,Harmony,L,P
HN70,NICOLLIER,HN-700 Menestrel 2,L,P
HN70,NICOLLIER,Menestrel 2,L,P
HORN,WALLERKOWSKI,Hornisse,L,P
HORZ,FISHER,Horizon,L,P
HORZ,FISHER AERO,Horizon,L,P
HPZL,HISTORICAL AIRCRAFT,PZL P-11C,L,P
HR10,ROBIN,HR-100 President,L,P
HR10,ROBIN,HR-100 Royal,L,P
HR10,ROBIN,HR-100 Safari,L,P
HR10,ROBIN,HR-100 Tiara,L,P
HR10,ROBIN,President (HR-100),L,P
HR10,ROBIN,Royal,L,P
HR10,ROBIN,Safari,L,P
HR10,ROBIN,Tiara,L,P
HR20,ROBIN,Acrobin,L,P
HR20,ROBIN,HR-200,L,P
HR20,ROBIN,HR-200 Acrobin,L,P
HR20,ROBIN,R-200,L,P
HROC,HARMON,Rocket,L,P
HRYA,HISTORICAL AIRCRAFT,Ryan Trainer,L,P
HRZN,RAYTHEON,4000 Hawker Horizon,L,J
HRZN,RAYTHEON,Hawker Horizon,L,J
HT16,HINDUSTAN,HJT-16 Kiran,L,J
HT16,HINDUSTAN,Kiran,L,J
HT2,HINDUSTAN,HT-2,L,P
HT32,HINDUSTAN,Deepak,L,P
HT32,HINDUSTAN,HPT-32 Deepak,L,P
HT34,HINDUSTAN,HTT-34,L,T
HT36,HINDUSTAN,HJT-36,L,J
HU1,SHENYANG SAILPLANE,HU-1 Seagull,L,P
HU1,SHENYANG SAILPLANE,Seagull,L,P
HU2,SHENYANG SAILPLANE,HU-2 Petrel,L,P
HU2,SHENYANG SAILPLANE,Petrel,L,P
HUCO,BELL,209 HueyCobra,H,T
HUCO,BELL,AH-1E HueyCobra,H,T
HUCO,BELL,AH-1F HueyCobra,H,T
HUCO,BELL,AH-1P HueyCobra,H,T
HUCO,BELL,AH-1S HueyCobra,H,T
HUCO,BELL,HA-14 HueyCobra,H,T
HUCO,BELL,HueyCobra,H,T
HUCO,BELL,TAH-1 HueyCobra,H,T
HUCO,BELL,TH-1S HueyCobra,H,T
HUCO,FUJI,AH-1 HueyCobra,H,T
HUCO,FUJI,HueyCobra,H,T
HUML,HUMMEL,Hummel Bird,L,P
HUMM,AEROTEK,Hummingbird,L,P
HUNT,HAWKER,Hunter,L,J
HURI,HAWKER,Hurricane,L,P
HURI,HAWKER,Sea Hurricane,L,P
HUSK,AVIAT,A-1 Husky,L,P
HUSK,AVIAT,A-1 Husky Pup,L,P
HUSK,AVIAT,Husky,L,P
HUSK,AVIAT,Husky Pup,L,P
HUSK,CHRISTEN,A-1 Husky,L,P
HUSK,CHRISTEN,Husky,L,P
HW4P,GROEN,Hawk 4,G,P
HW4T,GROEN,Jet Hawk 4T,G,T
I103,ILYUSHIN,Il-103,L,P
I114,ILYUSHIN,Il-114,L,T
I115,AISA,I-115,L,P
I11B,AISA,I-11B Peque,L,P
I11B,AISA,Peque,L,P
I153,POLIKARPOV,I-153,L,P
I15B,POLIKARPOV,I-15bis,L,P
I16,POLIKARPOV,I-16,L,P
I22,INSTYTUT LOTNICTWA,I-22 Iryda,L,J
I22,INSTYTUT LOTNICTWA,Iryda,L,J
I22,PZL-MIELEC,I-22 Iryda,L,J
I22,PZL-MIELEC,Iryda,L,J
I22,PZL-MIELEC,M-93 Iryda,L,J
I22,PZL-MIELEC,M-96 Iryda,L,J
I23,INSTYTUT LOTNICTWA,I-23 Manager,L,P
I23,INSTYTUT LOTNICTWA,Manager,L,P
I23,PZL-SWIDNIK,I-23 Manager,L,P
I23,PZL-SWIDNIK,Manager,L,P
I3,INTERAVIA,I-3,L,P
I66,IANNOTTA,I-66 San Francisco,L,P
I66,IANNOTTA,San Francisco,L,P
I828,ICA,IAR-828,L,T
IA46,DINFIA,IA-46 Ranquel,L,P
IA46,DINFIA,IA-46 Super Ranquel,L,P
IA46,DINFIA,Ranquel,L,P
IA46,DINFIA,Super Ranquel,L,P
IA50,DINFIA,Guarani 2,L,T
IA50,DINFIA,IA-50 Guarani 2,L,T
IA50,FMA,Guarani 2,L,T
IA50,FMA,IA-50 Guarani 2,L,T
IA51,DINFIA,IA-51 Tehuelche,L,P
IA51,DINFIA,Tehuelche,L,P
IA51,FMA,IA-51 Tehuelche,L,P
IA51,FMA,Tehuelche,L,P
IA58,FMA,IA-58 Pucará,L,T
IA58,FMA,Pucará,L,T
IA63,FMA,IA-63 Pampa,L,J
IA63,FMA,Pampa,L,J
IA63,LMAASA,AT-63 Pampa,L,J
IA63,LMAASA,IA-63 Pampa,L,J
IA63,LMAASA,Pampa,L,J
IFUR,ISAACS,Fury,L,P
IL14,AVIA,Av-14,L,P
IL14,ILYUSHIN,Il-14,L,P
IL14,VEB,Il-14,L,P
IL18,ILYUSHIN,Bizon,L,T
IL18,ILYUSHIN,Il-18,L,T
IL18,ILYUSHIN,Il-18 Bizon,L,T
IL18,ILYUSHIN,Il-20,L,T
IL18,ILYUSHIN,Il-22 Zebra,L,T
IL18,ILYUSHIN,Il-24,L,T
IL18,ILYUSHIN,Zebra,L,T
IL28,HARBIN,H-5,L,J
IL28,HARBIN,HJ-5,L,J
IL28,HARBIN,HZ-5,L,J
IL28,ILYUSHIN,Il-28,L,J
IL38,ILYUSHIN,Il-38,L,T
IL62,ILYUSHIN,Il-62,L,J
IL76,ILYUSHIN,Gajaraj,L,J
IL76,ILYUSHIN,Il-76,L,J
IL76,ILYUSHIN,Il-76 Gajaraj,L,J
IL76,ILYUSHIN,Il-78,L,J
IL76,ILYUSHIN,Il-82,L,J
IL86,ILYUSHIN,Il-86,L,J
IL86,ILYUSHIN,Il-87,L,J
IL96,ILYUSHIN,Il-96,L,J
IMPU,IMPULSE,Impulse,L,P
IP26,IPAI,IPAI-26 Tuca,L,P
IP26,IPAI,Tuca,L,P
IPAN,EMBRAER,EMB-200 Ipanema,L,P
IPAN,EMBRAER,EMB-201 Ipanema,L,P
IPAN,EMBRAER,EMB-202 Ipanema,L,P
IPAN,EMBRAER,Ipanema,L,P
IPAN,EMBRAER,U-19 Ipanema,L,P
IPAN,NEIVA,EMB-201 Ipanema,L,P
IPAN,NEIVA,EMB-202 Ipanema,L,P
IPAN,NEIVA,Ipanema,L,P
IR21,ICA,IAR-821,L,P
IR22,ICA,IAR-822,L,P
IR22,ICA,IAR-826,L,P
IR23,ICA,IAR-823,L,P
IR24,ICA,IAR-824,L,P
IR25,ICA,IAR-825TP Triumf,L,T
IR25,ICA,Triumf,L,T
IR27,BUCURESTI,Dacic,L,P
IR27,BUCURESTI,IAR-827 Dacic,L,P
IR27,ICA,Dacic,L,P
IR27,ICA,IAR-827 Dacic,L,P
IR28,ICA,IAR-28MA,L,P
IR28,ICA,IS-28MA,L,P
IR31,ICA,IAR-831 Pelican,L,P
IR31,ICA,Pelican,L,P
IR46,IAR,IAR-46,L,P
IR99,AVIOANE,IAR-109 Swift,L,J
IR99,AVIOANE,IAR-99 Soim,L,J
IR99,AVIOANE,Soim,L,J
IR99,AVIOANE,Swift,L,J
IR99,CRAIOVA,IAR-99 Soim,L,J
IR99,CRAIOVA,Soim,L,J
IS2,INSTYTUT LOTNICTWA,IS-2,H,P
IS28,IAR,IS-28M2,L,P
IS28,ICA,IS-28M2,L,P
ISPT,ISAACS,Spitfire,L,P
J1,AUSTER,Aiglet,L,P
